mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-17,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.3699807209841537,-3.3410547783728335,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-20,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.54292024632321,-3.2967864674628244,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-21,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5271852030261237,-3.512315339007455,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-22,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.460634358383798,-3.352199043079383,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-23,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.392481726488465,-3.415759992548403,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-27,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.513936715456651,-3.4458066157588636,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-29,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4658069381144374,-3.4185537602792735,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-30,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5267804517479178,-3.3750314461810382,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-01,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.509914526481417,-3.2750293675364923,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-02,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.6363086661452146,-3.4544129883441386,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-03,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4890179046416994,-3.34585105151742,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-04,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.426286555429792,-3.3870351255916598,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-05,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5225084056360467,-3.3745154184739303,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-07,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5257660895572824,-3.2680809449006047,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-09,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.6169013608587766,-3.305252335964659,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-10,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5749752545127076,-3.2413097223295537,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-14,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5367160395715023,-3.3606620252649653,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-15,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.6252305861371066,-3.4039769798586295,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-16,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4130653104937134,-3.3662102762754134,0
