dataset_short_name,session_id,subject_id,metadata_profile_label,cluster,pca_1,pca_2
nwb_ca1,26863_2020-Nov-04_12-46-06,26863_Ash,standardized NWB unit-rich profile,2,-3.4749346507033723,3.4961867148524717
nwb_ca1,26863_2020-Nov-05_10-26-23,26863_Ash,standardized NWB unit-rich profile,2,-3.4377251473875665,3.461502560015533
nwb_ca1,26965_2020-Dec-07_15-52-32,26965_Bubinga,standardized NWB unit-rich profile,2,-3.3808410345135878,3.4084790793757107
nwb_ca1,26965_2020-Dec-07_16-51-52,26965_Bubinga,standardized NWB unit-rich profile,2,-3.3808410345135878,3.4084790793757107
nwb_ca1,26965_2020-Dec-08_10-46-12,26965_Bubinga,standardized NWB unit-rich profile,2,-3.3808410345135878,3.4084790793757107
nwb_ca1,26965_2020-Dec-08_11-29-48,26965_Bubinga,standardized NWB unit-rich profile,2,-3.334674943111323,3.3654462055202745
nwb_ca1,26965_2020-Dec-08_14-36-11,26965_Bubinga,standardized NWB unit-rich profile,2,-3.411998318653958,3.437521769310357
nwb_ca1,26965_2020-Dec-09_11-52-59,26965_Bubinga,standardized NWB unit-rich profile,2,-3.411311524651033,3.436881586899526
nwb_ca1,26965_2020-Dec-09_12-10-58,26965_Bubinga,standardized NWB unit-rich profile,2,-3.411998318653958,3.437521769310357
nwb_ca1,26965_2020-Dec-11_10-58-11,26965_Bubinga,standardized NWB unit-rich profile,2,-3.411311524651033,3.436881586899526
nwb_ca1,26966_2020-Dec-14_15-18-10,26966_Cedar,standardized NWB unit-rich profile,2,-3.398991738405841,3.4253979245119988
nwb_ca1,26966_2020-Dec-14_16-26-40,26966_Cedar,standardized NWB unit-rich profile,2,-3.398991738405841,3.4253979245119988
nwb_ca1,26966_2020-Dec-15_11-47-50,26966_Cedar,standardized NWB unit-rich profile,2,-3.398991738405841,3.4253979245119988
nwb_ca1,26966_2020-Dec-16_11-48-01,26966_Cedar,standardized NWB unit-rich profile,2,-3.4106196713465122,3.4362366885536706
nwb_ca1,27284_2021-Jun-15_19-16-52,27284_Douglas,standardized NWB unit-rich profile,2,-3.595652047716551,3.6285044624150764
nwb_ca1,27284_2021-Jun-16_08-24-12,27284_Douglas,standardized NWB unit-rich profile,2,-3.60461455437214,3.6368586983190414
nwb_ca1,27284_2021-Jun-16_14-33-11,27284_Douglas,standardized NWB unit-rich profile,2,-3.612931370910817,3.6446110660442876
nwb_ca1,27284_2021-Jun-17_15-01-36,27284_Douglas,standardized NWB unit-rich profile,2,-3.5636021413516126,3.598629731074637
nwb_ca1,27284_2021-Jun-18_11-01-41,27284_Douglas,standardized NWB unit-rich profile,2,-3.5363540764904284,3.5732309480639852
nwb_ca1,27285_2021-Jul-01_08-10-45,27285_Elm,standardized NWB unit-rich profile,2,-3.748943558712338,3.782979977918686
nwb_ca1,27285_2021-Jul-01_12-33-30,27285_Elm,standardized NWB unit-rich profile,2,-3.748943558712338,3.782979977918686
nwb_ca1,27285_2021-Jul-01_13-26-22,27285_Elm,standardized NWB unit-rich profile,2,-3.5411041030593737,3.5892462481263148
nwb_ca1,27285_2021-Jul-02_13-23-12,27285_Elm,standardized NWB unit-rich profile,2,-3.5332901696245513,3.581962633646467
nwb_ca1,27285_2021-Jun-30_10-03-39,27285_Elm,standardized NWB unit-rich profile,2,-3.757940075398946,3.7913659156481727
nwb_ca1,27285_2021-Jun-30_13-05-14,27285_Elm,standardized NWB unit-rich profile,2,-3.757940075398946,3.7913659156481727
nwb_ca1,27285_2021-Jun-30_13-59-11,27285_Elm,standardized NWB unit-rich profile,2,-3.622052283593712,3.6647006072880766
nwb_ca1,27963_2022-Feb-08_21-14-27,27963_Hemlock,standardized NWB unit-rich profile,2,-3.6055601078683814,3.6493277287091654
nwb_ca1,27963_2022-Feb-09_08-02-57,27963_Hemlock,standardized NWB unit-rich profile,2,-3.624479044845042,3.6669626681997487
nwb_ca1,27963_2022-Feb-10_11-06-56,27963_Hemlock,standardized NWB unit-rich profile,2,-3.5744643190069314,3.6203423604688663
nwb_ca1,27963_2022-Feb-10_14-07-47,27963_Hemlock,standardized NWB unit-rich profile,2,-3.5695668078287306,3.615777235409855
nwb_ca1,27963_2022-Feb-11_14-58-41,27963_Hemlock,standardized NWB unit-rich profile,2,-3.548864134360022,3.5964796187221766
nwb_ca1,28003_2022-Mar-07_20-44-03,28003_Ironwood,standardized NWB unit-rich profile,2,-3.5354103197318985,3.583938892613879
nwb_ca1,28003_2022-Mar-08_11-22-53,28003_Ironwood,standardized NWB unit-rich profile,2,-3.562376610282629,3.6090750248782983
nwb_ca1,28003_2022-Mar-08_11-38-59,28003_Ironwood,standardized NWB unit-rich profile,2,-3.550930338411316,3.5984055928646295
nwb_ca1,28003_2022-Mar-08_15-04-04,28003_Ironwood,standardized NWB unit-rich profile,2,-3.5764488308591376,3.622192186728935
nwb_ca1,28003_2022-Mar-09_07-54-00,28003_Ironwood,standardized NWB unit-rich profile,2,-3.5898073791330725,3.634644112055577
nwb_ca1,28003_2022-Mar-10_10-53-58,28003_Ironwood,standardized NWB unit-rich profile,2,-3.528788238127852,3.5777662409192774
nwb_ca1,29629_2024-Oct-29_15-05-13,29629_Karri,standardized NWB unit-rich profile,2,-3.4265135657524843,3.4708451341639877
nwb_ca1,29629_2024-Oct-30_05-40-15,29629_Karri,standardized NWB unit-rich profile,2,-3.518075454284215,3.55619286622168
nwb_ca1,29629_2024-Oct-30_15-13-05,29629_Karri,standardized NWB unit-rich profile,2,-3.43037708885591,3.474446446237356
nwb_ca1,29630_2024-Sep-17_07-08-26,29630_Juniper,standardized NWB unit-rich profile,2,-3.611429186542153,3.643210832485829
nwb_ca1,29630_2024-Sep-17_09-22-08,29630_Juniper,standardized NWB unit-rich profile,2,-3.587712925716418,3.6211041557142627
nwb_ca1,29630_2024-Sep-17_13-26-08,29630_Juniper,standardized NWB unit-rich profile,2,-3.6996160294237597,3.7254125777530733
nwb_ca1,29630_2024-Sep-17_23-09-30,29630_Juniper,standardized NWB unit-rich profile,2,-3.6130667491848905,3.6447372564150555
nwb_ca1,29630_2024-Sep-18_10-18-21,29630_Juniper,standardized NWB unit-rich profile,2,-3.5783575120730267,3.612383678780802
nwb_ca1,29630_2024-Sep-18_14-20-12,29630_Juniper,standardized NWB unit-rich profile,2,-3.663143056407948,3.691414966102434
nwb_ca1,29630_2024-Sep-18_15-19-16,29630_Juniper,standardized NWB unit-rich profile,2,-3.593177104467897,3.626197489539885
nwb_ca1,29630_2024-Sep-19_05-09-20,29630_Juniper,standardized NWB unit-rich profile,2,-3.5910208757399458,3.6241876005491793
nwb_ca1,29630_2024-Sep-19_11-15-17,29630_Juniper,standardized NWB unit-rich profile,2,-3.6688590149993323,3.6967429918796793
nwb_ca1,29630_2024-Sep-20_09-49-05,29630_Juniper,standardized NWB unit-rich profile,2,-3.5696992982184503,3.6043130838202955
nwb_ca1,29630_2024-Sep-20_10-32-21,29630_Juniper,standardized NWB unit-rich profile,2,-3.6813417374446202,3.7083785322523695
nwb_ca1,29630_2024-Sep-20_13-20-20,29630_Juniper,standardized NWB unit-rich profile,2,-3.6576054097465565,3.6862531505144682
nwb_ca1,29630_2024-Sep-24_14-25-53,29630_Juniper,standardized NWB unit-rich profile,2,-3.6932842253114537,3.7195105028889053
legacy_touchscreen,rat-14_190130,rat-14,navigation/open-field ephys profile,3,2.3434633651694545,2.875851997646767
