dataset_short_name,file,status,message
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-14_16-26-40.nwb,success,Extracted 477 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-15_11-47-50.nwb,success,Extracted 477 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-16_11-48-01.nwb,success,Extracted 540 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-15_19-16-52.nwb,success,Extracted 2306 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-16_08-24-12.nwb,success,Extracted 2537 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-16_14-33-11.nwb,success,Extracted 2772 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-17_15-01-36.nwb,success,Extracted 1639 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-18_11-01-41.nwb,success,Extracted 1226 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-01_08-10-45.nwb,success,Extracted 8703 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-01_12-33-30.nwb,success,Extracted 8703 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-01_13-26-22.nwb,success,Extracted 951 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-02_13-23-12.nwb,success,Extracted 875 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_10-03-39.nwb,success,Extracted 9578 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_13-05-14.nwb,success,Extracted 9578 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_13-59-11.nwb,success,Extracted 2253 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-08_21-14-27.nwb,success,Extracted 1890 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-09_08-02-57.nwb,success,Extracted 2312 units
