dataset,session_id,subject_id,analysis,contrast,effect_size_cliffs_delta,p_value,n_group_a,n_group_b,n_trials,status,evidence_level,spearman_r,p_value_bh
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,,,5.0,0.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp35_2012-09-15,Turing,memory_vs_normal_trial_activity,memory - normal,,,0.0,2.0,2,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp35_2012-09-15,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,1.0,1.0,2,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp35_2012-09-15,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,2,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,,,5.0,0.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
