dataset,analysis_family,session_id,subject_id,context,region,recording_system,recording_duration_s,recording_duration_min,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,evidence_level
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-15,25398,open_field_continuous_foraging,CA1,Axona,1518.0,25.3,0,0,108856,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-03,25398,open_field_continuous_foraging,CA1,Axona,1441.0,24.016666666666666,0,0,200199,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-04,25398,open_field_continuous_foraging,CA1,Axona,1741.0,29.016666666666666,0,0,170989,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-16,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,310735,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-17,25398,open_field_continuous_foraging,CA1,Axona,1230.0,20.5,0,0,187026,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-18,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,450676,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-19,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,479797,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-09-20,25398,open_field_continuous_foraging,CA1,Axona,1460.0,24.333333333333332,0,0,357440,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-07,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,301893,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-08,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,278080,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-09,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,6,8843,1082774,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-10,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,9,8416,735561,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-23,25398,open_field_continuous_foraging,CA1,Axona,1507.0,25.116666666666667,5,6711,341380,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-10-24,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,288311,4,True,False,continuous_reference
