dataset_short_name,session_id,subject_id,trial_id,trial_type,trial_outcome,trial_side,object_id,n_spikes_total,n_spiketrains,n_events,is_preview_record,source_level
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 4,normal,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 5,memory,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 6,normal,incorrect,left,,0,48,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 1,normal,incorrect,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 2,normal,correct,left,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 3,normal,incorrect,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 5,normal,correct,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 6,normal,correct,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp35_2012-09-15,Turing,Trial 5,normal,incorrect,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Turing_samp35_2012-09-15,Turing,Trial 7,normal,correct,left,,0,24,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 2,memory,incorrect,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 3,normal,incorrect,left,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 6,normal,correct,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 7,memory,incorrect,left,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 8,normal,incorrect,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 3,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 4,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 5,memory,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 6,normal,incorrect,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 7,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 2,normal,incorrect,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 3,memory,correct,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 4,normal,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 5,normal,incorrect,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 6,memory,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 1,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 2,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 3,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 4,normal,correct,left,,0,10,6,True,touchandsee_segment_preview
