dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level,raw_session_description,spikes_per_unit,spikes_per_trial,events_per_trial,units_per_trial,mean_firing_rate_hz_filled,has_units,has_spikes,has_trials,has_events,has_lfp,has_duration,has_firing_rate,biological_table_completeness_score
openfield_ca1,25398_2019-05-03,25398,2019-05-03,open_field,Axona,CA1,data\25398\2019-05-03,6,7824.0,354682.0,1526.0,0.854521625163827,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,1304.0,,,,0.854521625163827,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,25398_2019-05-06,25398,2019-05-06,open_field,Axona,CA1,data\25398\2019-05-06,8,0.0,348945.0,1718.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-07,25398,2019-05-07,open_field,Axona,CA1,data\25398\2019-05-07,8,0.0,567458.0,1801.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-08,25398,2019-05-08,open_field,Axona,CA1,data\25398\2019-05-08,8,0.0,680267.0,1800.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-09,25398,2019-05-09,open_field,Axona,CA1,data\25398\2019-05-09,8,0.0,588177.0,1754.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-10,25398,2019-05-10,open_field,Axona,CA1,data\25398\2019-05-10,8,0.0,355757.0,1801.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-11,25398,2019-05-11,open_field,Axona,CA1,data\25398\2019-05-11,8,0.0,487682.0,1800.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-14,25398,2019-05-14,open_field,Axona,CA1,data\25398\2019-05-14,8,0.0,1211396.0,1801.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-15,25398,2019-05-15,open_field,Axona,CA1,data\25398\2019-05-15,8,0.0,834801.0,1801.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-16,25398,2019-05-16,open_field,Axona,CA1,data\25398\2019-05-16,12,16079.0,1693132.0,1676.0,0.7994729514717582,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,1339.9166666666667,,,,0.7994729514717582,True,True,False,False,True,True,True,0.6666666666666666
