dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,1.0,correct,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,2.0,correct,left,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,3.0,incorrect,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,4.0,correct,left,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp4_2012-01-05,Taskmaster,5.0,correct,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,2.0,incorrect,left,memory,0.0,75.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,3.0,incorrect,right,normal,0.0,75.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,4.0,correct,right,normal,0.0,75.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,5.0,correct,right,memory,0.0,75.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp5_2012-01-06,Taskmaster,6.0,correct,left,normal,0.0,75.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,1.0,incorrect,right,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,2.0,incorrect,right,memory,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,3.0,correct,left,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,4.0,incorrect,left,memory,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp6_2012-01-10,Taskmaster,5.0,correct,right,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,2.0,correct,right,normal,0.0,68.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,3.0,correct,left,normal,0.0,68.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,4.0,incorrect,right,normal,0.0,68.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,5.0,correct,right,normal,0.0,68.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp7_2012-01-11,Taskmaster,6.0,correct,left,normal,0.0,68.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,1.0,correct,left,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,2.0,correct,left,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,3.0,correct,right,memory,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,4.0,correct,left,normal,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp8_2012-01-12,Taskmaster,5.0,correct,right,memory,0.0,64.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,2.0,incorrect,right,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,3.0,correct,left,memory,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,4.0,correct,right,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
