session_id,subject_id,context,repeat,toi,n_units_used,n_bins,duration_s,bin_size_s,fixed_units
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,16,0.0005017400695542004,50,89,881.2462666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,17,0.000469823833387889,50,89,881.2443666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,18,0.0007386854017554764,50,89,881.2395666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,19,0.0006018903005589663,50,89,881.2332333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,20,0.0006831241435725636,50,89,881.2395666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,21,0.0008040843369585255,50,89,881.2414333333332,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,22,0.0005527216441620882,50,89,881.2357333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,23,0.0008484461897813883,50,89,881.2511,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,24,0.0005588332938400134,50,89,881.2514333333334,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,25,0.0007134938617894319,50,89,881.2318666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,26,0.0007671080536712177,50,89,881.2511666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,27,0.0005186676783165575,50,89,881.2465333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,28,0.00046000707765616255,50,89,881.2241333333334,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,29,0.0005079415081528023,50,89,881.2512333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,30,0.0006352278979256768,50,89,881.2417666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,31,0.0006480109532382983,50,89,881.2511666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,32,0.0006330928796716334,50,89,881.2514333333334,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,33,0.0005481942147595024,50,89,881.2416666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,34,0.0004077665729620461,50,89,881.2414666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,35,0.0006043685067451961,50,89,881.2511666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,36,0.0007134688046821516,50,89,881.2512333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,37,0.0006600924683718099,50,89,881.2443666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,38,0.000767165160986442,50,89,881.2511666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,39,0.0007441017399255519,50,89,881.2417666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,40,0.0006805393814909207,50,89,881.2417666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,41,0.0006341737406894032,50,89,881.2515,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,42,0.0006417082941914541,50,89,881.241,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,43,0.000549355622856277,50,89,881.2515,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,44,0.000771887277259497,50,89,881.2464666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,45,0.0007483915688702672,50,89,881.2384000000001,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,46,0.0005092423438269048,50,89,881.2465333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,47,0.0006070637313470582,50,89,881.2417,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,48,0.0006238018190278691,50,89,881.2462,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,49,0.0006579816531822562,50,89,881.2388666666667,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,0,0.00117308243613193,50,75,747.9962,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,1,0.0012365712565137067,50,75,747.9925666666668,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,2,0.001091344387205104,50,75,747.9954999999995,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,3,0.0013399445500915888,50,75,747.9884333333332,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,4,0.0013640335775756821,50,75,747.995366666667,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,5,0.0012577264258365833,50,75,747.9965666666667,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,6,0.0011644358490260271,50,75,747.9931333333332,10.0,50
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,7,0.0010161705806700765,50,75,747.9904999999998,10.0,50
