lag_index,lag_value_s,mean_distance,median_distance,n_pairs,session_id,subject_id,context
1,10.0,0.7606160199400943,0.7806362967145061,90,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
2,20.0,0.8912773451626682,0.9271021327726573,89,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
3,30.0,0.9245094906705372,0.9338490244501545,88,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
4,40.0,0.8860606618389911,0.8911801005712725,87,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
5,50.0,0.8879158261520682,0.8966061243936647,86,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
6,60.0,0.898299588020509,0.899201100611904,85,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
7,70.0,0.9571297863455825,0.9558849074401474,84,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
8,80.0,0.9498570255041068,0.9366407943179231,83,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
9,90.0,0.9296936173662258,0.9244899097634587,82,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
10,100.0,0.9336962845051299,0.9407784286160827,81,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
11,110.0,0.9569481532027574,0.9599999297027935,80,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
12,120.0,0.9614954174468507,0.9606497297263602,79,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
13,130.0,0.9627363297428476,0.962828459090803,78,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
14,140.0,0.9877885352464456,0.9854849616546101,77,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
15,150.0,0.9967423955972676,1.0043748843335614,76,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
16,160.0,1.0091132300541366,1.0077819932076433,75,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
17,170.0,0.9911926835848438,0.9783702656931539,74,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
18,180.0,0.9937989616302296,1.0164734539753009,73,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
19,190.0,1.0336717392956767,1.0335708649431448,72,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
20,200.0,0.9830933099859734,1.0072288115342094,71,26966_2020-Dec-16_11-48-01,26966_Cedar,object_context
1,10.0,0.7430920907192962,0.8009582311669114,125,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
2,20.0,0.8367112823139208,0.8723440497539283,124,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
3,30.0,0.8510861225012123,0.8716291667787035,123,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
4,40.0,0.8589524977545885,0.9047025116660309,122,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
5,50.0,0.8987556727201387,0.9142181406086388,121,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
6,60.0,0.9422599470209865,0.9690288057312288,120,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
7,70.0,0.937299036682271,0.9713947848258164,119,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
8,80.0,0.9720514882502045,0.9927148633493934,118,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
9,90.0,0.9965839074772077,0.9886324098363867,117,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
10,100.0,1.0132204223243173,1.023810094868866,116,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
11,110.0,0.9914423805945938,0.9857396759901512,115,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
12,120.0,0.9953952463454424,1.0012482394346123,114,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
13,130.0,0.9815729642414541,0.985855621708853,113,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
14,140.0,0.9987543572530407,1.0047726473910288,112,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
15,150.0,0.9930568359833061,0.9940327033074787,111,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
16,160.0,0.9966107776502653,1.0201664044475502,110,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
17,170.0,1.0090737768957965,1.0177216871728263,109,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
18,180.0,0.95271446791836,0.9665333763943428,108,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
19,190.0,0.9483061927831641,0.953909510924134,107,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
20,200.0,0.9657943509683622,0.9788910041502721,106,27284_2021-Jun-15_19-16-52,27284_Douglas,open_field
1,10.0,0.6051423080765715,0.6020213942320778,996,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
2,20.0,0.6835186957604426,0.6750002983333655,995,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
3,30.0,0.7213874775858836,0.7123402184907766,994,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
4,40.0,0.7377899927205958,0.7356505799491214,993,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
5,50.0,0.7575087239013136,0.7404819797862182,992,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
6,60.0,0.7748768078480325,0.7593907994029293,991,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
7,70.0,0.7853321533210286,0.769411949100152,990,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
8,80.0,0.7981955523377163,0.8006379945774698,989,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
9,90.0,0.8071921813392475,0.8081026513166061,988,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
10,100.0,0.8127002143593379,0.8027141403080161,987,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
11,110.0,0.8236935186954392,0.8114906253364006,986,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
12,120.0,0.8330905115789691,0.8350195151917064,985,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
13,130.0,0.8359362662360469,0.8341443619330238,984,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
14,140.0,0.8446330469219445,0.8483152620258001,983,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
15,150.0,0.8479085560755784,0.8473489288356073,982,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
16,160.0,0.8646232207449156,0.8766854944450042,981,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
17,170.0,0.86730153082976,0.873090443893672,980,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
18,180.0,0.8704793542269196,0.8716899260611907,979,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
19,190.0,0.8754255770667129,0.8724885971050076,978,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
20,200.0,0.8803764019138722,0.8791962189441963,977,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep
1,10.0,0.7238208007021442,0.720551397355206,147,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
2,20.0,0.8395059771238902,0.8421762414320815,146,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
3,30.0,0.8784775464541894,0.8802522111162643,145,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
4,40.0,0.9197508409258077,0.9324924866250336,144,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
5,50.0,0.9401613940004504,0.9538603240541331,143,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
6,60.0,0.9166470156162059,0.9203116319317637,142,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
7,70.0,0.9381014804700083,0.9343198274246391,141,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
8,80.0,0.9378852360332646,0.9446704462963305,140,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
9,90.0,0.9737462911693628,0.9794620763871249,139,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
10,100.0,0.9743603940020088,0.9942540017017172,138,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
11,110.0,0.990062601928693,0.9822154817419982,137,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
12,120.0,0.972770567787295,0.986018065710436,136,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
13,130.0,0.950957737107876,0.9554954318426663,135,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
14,140.0,0.964495237074451,0.9507950615487702,134,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
15,150.0,0.9566456168496401,0.9806983985492072,133,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
16,160.0,0.9682427467655789,0.998816552420787,132,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
17,170.0,1.0002308417253953,1.0139469273071087,131,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
18,180.0,0.9994908881077104,1.0197097495879621,130,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
19,190.0,1.032167747887254,1.045878358810379,129,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
20,200.0,0.9969531424658465,1.0075204535232016,128,27284_2021-Jun-16_14-33-11,27284_Douglas,open_field
1,10.0,0.6694651551296135,0.6663381303866629,128,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
2,20.0,0.8076064333972716,0.7773066218702749,127,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
3,30.0,0.8770981725365102,0.8842071177899617,126,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
4,40.0,0.9173784482893902,0.9287758306792626,125,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
5,50.0,0.9287575452284387,0.9646193642588929,124,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
6,60.0,0.9627909223419717,0.9757201862618406,123,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
7,70.0,0.9966482698980293,0.975060427672807,122,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
8,80.0,1.0219282846046538,1.0263275517803248,121,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
9,90.0,0.9851760028341835,0.9933081291612937,120,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
10,100.0,0.9955440686001266,0.9671781078785479,119,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
11,110.0,0.9780515018998487,0.9708977170877937,118,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
12,120.0,0.9877761040349804,0.9823984318148459,117,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
13,130.0,1.0025986971982488,1.0097567527244604,116,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
14,140.0,1.0168964614645188,1.061868001905594,115,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
